sku,has_packaging,category,unit_weight_grams,packaging_type
alias-92020,yes,plastic,20.3,thermoform
alias-92020,yes,plastic,20.3,thermoform
alias-86347,yes,paper,1.1,label
alias-86347,yes,paper,1.1,label
alias-86347,yes,plastic,20.3,thermoform
alias-86347,yes,plastic,20.3,thermoform
alias-68109,yes,paper,1.1,label
alias-68109,yes,paper,1.1,label
alias-68109,yes,plastic,40.6,thermoform
alias-68109,yes,plastic,40.6,thermoform
alias-43379,yes,plastic,7.5,flowpack
alias-92250,yes,plastic,12.5,flowpack
alias-99956,yes,plastic,14.5,flowpack
alias-74153,yes,plastic,16.0,rigid (e.g. clamshell)
alias-80990,yes,mixed,3.6,flowpack
alias-89804,yes,plastic,3.0,sachet
alias-52723,yes,plastic,3.0,sachet
alias-64313,yes,plastic,17.0,flowpack
alias-91671,yes,plastic,17.0,flowpack
alias-90505,yes,plastic,7.5,flowpack
alias-47368,yes,plastic,12.5,flowpack
alias-31318,yes,plastic,14.5,flowpack
alias-38618,yes,plastic,7.5,flowpack
alias-13975,yes,plastic,12.5,flowpack
alias-50358,yes,plastic,14.5,flowpack
alias-93574,yes,plastic,7.0,sachet
alias-93574,yes,plastic,0.1,label
alias-94441,yes,mixed,0.1,label
alias-94441,yes,plastic,7.0,sachet
alias-22408,yes,plastic,9.0,sachet
alias-22408,yes,mixed,0.1,label
alias-29083,yes,mixed,0.1,label
alias-29083,yes,plastic,9.0,sachet
alias-61187,yes,mixed,0.1,label
alias-61187,yes,plastic,7.0,sachet
alias-34148,yes,plastic,9.0,sachet
alias-34148,yes,mixed,0.1,label
alias-68541,yes,mixed,0.1,label
alias-68541,yes,plastic,9.0,sachet
alias-85646,yes,plastic,17.0,flowpack
alias-88504,yes,plastic,17.0,flowpack
alias-43054,yes,plastic,6.7,sachet
alias-63845,yes,plastic,50.0,tray
alias-26199,yes,plastic,50.0,tray
alias-75156,yes,plastic,50.0,tray
alias-46062,yes,plastic,50.0,tray
alias-32398,yes,plastic,50.0,tray
alias-53578,yes,plastic,50.0,tray
alias-16238,yes,plastic,50.0,tray
alias-26007,yes,plastic,50.0,tray
alias-68855,yes,plastic,50.0,tray
alias-43074,no,,,none
alias-83811,no,,,none
alias-24346,no,,,none
alias-54817,yes,plastic,40.0,sachet
alias-31470,no,,,none
alias-31470,no,,,none
alias-53894,no,,,none
alias-53894,no,,,none
alias-87864,no,,,none
alias-87864,no,,,none
alias-56376,no,,,none
alias-41243,yes,plastic,4.0,flowpack
alias-41243,yes,plastic,4.0,flowpack
alias-41243,yes,paper,1.0,label
alias-33748,yes,plastic,4.0,flowpack
alias-33748,yes,paper,1.0,label
